color_index	color_name	r	g	b
0	white	1.000000	1.000000	1.000000
4	red	1.000000	0.000000	0.000000
6	yellow	1.000000	1.000000	0.000000
9	salmon	1.000000	0.600000	0.600000
27	nitrogen	0.200000	0.200000	1.000000
28	oxygen	1.000000	0.300000	0.300000
29	hydrogen	0.900000	0.900000	0.900000
31	sulfur	0.900000	0.775000	0.250000
49	firebrick	0.698000	0.130000	0.130000
124	index_124	0.707071	0.707071	0.707071
134	index_134	0.808081	0.808081	0.808081
154	lightmagenta	1.000000	0.200000	0.800000
4155	density	0.100000	0.100000	0.600000
4226	index_4226	0.707071	0.707071	0.707071
5347	hafnium	0.301961	0.760784	1.000000
5368	neptunium	0.000000	0.501961	1.000000
